=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.12.10 05:59:55 =~=~=~=~=~=~=~=~=~=~=~=
1hm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
SAP::STATUS {
  STATUS::OK == 0
  STATUS::BAD_WIRING_I2C_BME280 == 1
  STATUS::BAD_ILLUMINANCE == 2
};
--> sap.status: 0 <--
14ms -> 14ms, 995ms -> 995ms, 997ms -> 998ms, 1000ms -> 1001ms, 7.83 LDR mV | 2.36 lx | 995.83 hPa | 21.29 °C | 89.25 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 995ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.81 hPa | 21.33 °C | 89.25 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.88 hPa | 21.39 °C | 90.32 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.73 hPa | 21.46 °C | 90.32 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.77 hPa | 21.51 °C | 93.55 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 3.92 LDR mV | 1.67 lx | 995.80 hPa | 21.59 °C | 93.55 RH % | 6.00 CO vout raw | 1710002.50 CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.74 hPa | 21.63 °C | 93.55 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.80 hPa | 21.68 °C | 93.55 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 7.83 LDR mV | 2.36 lx | 995.83 hPa | 21.74 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.82 hPa | 21.79 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.77 hPa | 21.84 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 3.92 LDR mV | 1.67 lx | 995.78 hPa | 21.88 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 7.83 LDR mV | 2.36 lx | 995.81 hPa | 21.92 °C | 95.70 RH % | 0.00 CO vout raw | inf CO rs ohm
